no,sub,story,cond,res,res_corrected,scenes_xx,scenes_xz,scenes_final,group,segment_num,condition,no_char,flag
10,0525-1,3,1_r0,"Scene 1
Characters: Joan
Joan goes to her office to find everything gone and a note that her stuff has been moved. She goes to the new office and is incredibly upset at what she sees
Scene 2
Characters: Jiyoon, all faculty
Jiyoon is prepping for the first all staff meeting and some faculty members come up to her and congratulate her on her new position and express some concerns to her which she promises to address.","Joan goes to her office to find everything gone and a note that her stuff has been moved. She goes to the new office and is incredibly upset at what she sees
Jiyoon is prepping for the first all staff meeting and some faculty members come up to her and congratulate her on her new position and express some concerns to her which she promises to address.",0 151 104 1 1,151 103 104 101 0,0 151 104 1 1,retrodiction,1,r0,,
11,0525-1,3,1_r,"Jiyoon, all faculty Jiyoon is prepping for the first all staff meeting and some faculty members come up to her and congratulate her on her new position and express some concerns to her which she promises to address. --- Bill is preparing for the first day of classes, and Doodle approaches him and asks what he's doing. 
She seems a bit sad, and he asks her what's wrong. She says that she misses her mom, and he tries to comfort her but is clearly somewhat detached and stressed himself.","Jiyoon is prepping for the first all staff meeting and some faculty members come up to her and congratulate her on her new position and express some concerns to her which she promises to address. --- Bill is preparing for the first day of classes, and Doodles approaches him and asks what he's doing. 
She seems a bit sad, and he asks her what's wrong. She says that she misses her mom, and he tries to comfort her but is clearly somewhat detached and stressed himself.",0 104 1 1 1 1 1 1 1,103 104 101 0,0 104 1 1 1 1 1 1 1,retrodiction,1,r,,
12,0526-1,3,1_r0,Joan is told her office is in the gym. she goes there to find it in disarray,Joan is told her office is in the gym. she goes there to find it in disarray,0 151,151,0 151,retrodiction,1,r0,,
13,0526-1,3,1_r,Jiyoon tries to quell concerns from the faculty in a meeting --- Bill talks to doodles about his wife that passed away,Jiyoon tries to quell concerns from the faculty in a meeting --- Bill talks to doodles about his wife that passed away,1 0,112 109,1 0,retrodiction,1,r,,
14,0526-3,3,1_r0,Jiyoon organizes a meeting with the entire faculty.,Jiyoon organizes a meeting with the entire faculty.,103,103,103,retrodiction,1,r0,,
15,0526-3,3,1_r,Jiyoon organizes a meeting with the entire faculty. --- Doodles tells Bill that he needs to step up and start taking responsibility. ,Jiyoon organizes a meeting with the entire faculty. --- Doodles tells Bill that he needs to step up and start taking responsibility. ,103 109,103 109,103 109,retrodiction,1,r,,
16,0527-2,3,1_r0,Jiyoon has a conversation with Bill about her goals for chair.,Jiyoon has a conversation with Bill about her goals for chair.,1,1,1,retrodiction,1,r0,,
17,0527-2,3,1_r,Jiyoon tells her goals to the faculty. --- Bill talks about how he misses Doodles' mother.,Jiyoon tells her goals to the faculty. --- Bill talks about how he misses Doodles' mother.,112 1,112 0,112 1,retrodiction,1,r,,
18,0528-2,3,1_r0,All faculty sit in their meeting. Jiyoon asks where Joan is. ,All faculty sit in their meeting. Jiyoon asks where Joan is. ,132,132 0,132,retrodiction,1,r0,,
19,0528-2,3,1_r,Jiyoon discusses the new agenda with all faculty.  --- Bill and Doodles discuss her recent schoolwork. ,Jiyoon discusses the new agenda with all faculty.  --- Bill and Doodles discuss her recent schoolwork. ,103 1,132 112 108,103 1,retrodiction,1,r,,
20,0528-3,3,1_r0,Jiyoon meets with the entire English department to hear out their concerns before the school year begins. ,Jiyoon meets with the entire English department to hear out their concerns before the school year begins. ,132,0,132,retrodiction,1,r0,,
21,0528-3,3,1_r,Jiyoon meets with the entire English department to hear out their concerns before the school year begins. --- Bill and Doodles have a heartfelt conversation about her mother passing. Doodles is very mature about the situation. She tells her father to get his life together.,Jiyoon meets with the entire English department to hear out their concerns before the school year begins. --- Bill and Doodles have a heartfelt conversation about her mother passing. Doodles is very mature about the situation. She tells her father to get his life together.,132 0 109,0 109,132 0 109,retrodiction,1,r,,
22,0612-1,3,1_r0,Jiyoon takes her place as chair. The university de-prioritizes the English department. ,Jiyoon takes her place as chair. The university de-prioritizes the English department. ,101 66,67 101 0,101 66,retrodiction,1,r0,,
23,0612-1,3,1_r,already included --- Bill and Doodles argue about his late wife / her late mother. ,Jiyoon takes her place as chair. The university de-prioritizes the English department.  --- Bill and Doodles argue about his late wife / her late mother. ,101 66 1,67 101 0 109,101 66 109,retrodiction,1,r,,
24,0613-1,3,1_r0,"It's a normal day for Joan as she gets ready to go to school, until she gets there and finds that her office has been moved. ","It's a normal day for Joan as she gets ready to go to school, until she gets there and finds that her office has been moved. ",151,151,151,retrodiction,1,r0,,
25,0613-1,3,1_r,Jiyoon is holding a faculty meeting with all the faculty members of the English department. She excitedly starts her first week as the chair.  --- Bill and Doodles have a father to daughter bonding time as the think about their past with their deceased mother/wife. ,Jiyoon is holding a faculty meeting with all the faculty members of the English department. She excitedly starts her first week as the chair.  --- Bill and Doodles have a father to daughter bonding time as the think about their past with their deceased mother/wife. ,103 101 1,103 109,103 101 109,retrodiction,1,r,,
26,0615-1,3,1_r0,Paul decides to move Joan's office to the gym,The Dean decides to move Joan's office to the gym,1,79,1,retrodiction,1,r0,,
27,0615-1,3,1_r,Jiyoon and the faculty talk about things to improve the English department because she has been informed that something needs to be done regarding their low enrollments. --- Doodles is Bill's student and asks Bill if he has written her letter of recommendation yet. ,Jiyoon and the faculty talk about things to improve the English department because she has been informed that something needs to be done regarding their low enrollments. --- Doodles is Bill's student and asks Bill if he has written her letter of recommendation yet. ,112 1,132 110 112 73 0,112 1,retrodiction,1,r,,
28,0616-1,3,1_r0,Joan finds out that her office has been moved to the basement of the recreational center. Bill oversleeps again. Habi is concerned about JuJu.,Joan finds out that her office has been moved to the basement of the recreational center. Bill oversleeps again. Habi is concerned about JuJu.,151 1 1,151 602,151 1 1,retrodiction,1,r0,,
29,0616-1,3,1_r,Jiyoon is telling the entire faculty that she is hearing complaints from the Dean. She also is wondering why Joan is late to the meeting.  --- Bill talks to Doodles about how much they miss her mom. Doodles and him are quite depressed after the mom died. ,Jiyoon is telling the entire faculty that she is hearing complaints from the Dean. She also is wondering why Joan is late to the meeting.  --- Bill talks to Doodles about how much they miss her mom. Doodles and him are quite depressed after the mom died. ,0 0 1 0,110 0 70,0 0 1 109,retrodiction,1,r,,
30,0619-1,3,1_r0,Paul tells Joan that she's moved to the gym. Bill has issues making it to class or remembering what to do.,The Dean tells Joan that she's moved to the gym. Bill has issues making it to class or remembering what to do.,1 1,0 631,1 1,retrodiction,1,r0,,
31,0619-1,3,1_r,Jiyoon begins a meeting with all the faculty to discuss goals for the English department. --- Bill and Doodles spend a nice evening together and he tucks her into bed.,Jiyoon begins a meeting with all the faculty to discuss goals for the English department. --- Bill and Doodles spend a nice evening together and he tucks her into bed.,103 1,103 0,103 1,retrodiction,1,r,,
32,0706-1,3,1_r0,The Dean plays political and attempts to force older faculty to retire. ,The Dean plays political and attempts to force older faculty to retire. ,63,63,63,retrodiction,1,r0,,
33,0706-1,3,1_r,The Dean plays political and attempts to force older faculty to retire. All faculty are in frenzy as most are older and fear being forced out.   --- The Dean plays political and attempts to force older faculty to retire. Doodles is concerned about Bill's lack of presence. ,The Dean plays political and attempts to force older faculty to retire. All faculty are in frenzy as most are older and fear being forced out.   --- The Dean plays political and attempts to force older faculty to retire. Doodles is concerned about Bill's lack of presence. ,0 1 1,63 110 0,0 1 1,retrodiction,1,r,1,
34,0707-1,3,1_r0,"Joan is assigned a new office. She arrives at her old office and reads a note with the new location. She goes to the location, which is at the wellness center, and finds all her belongings carelessly placed in empty boxes. ","Joan is assigned a new office. She arrives at her old office and reads a note with the new location. She goes to the location, which is at the wellness center, and finds all her belongings carelessly placed in empty boxes. ",79 151 ,151 79,79 151 ,retrodiction,1,r0,,
35,0707-1,3,1_r,Jiyoon is having a meeting with All faculty about her new assignment as chair. She listens to all the concerns they have.  --- Bill and Doodles are having lunch. Doodles is concerned for Bill's mental health and suggests some things he might do to feel better. ,Jiyoon is having a meeting with All faculty about her new assignment as chair. She listens to all the concerns they have.  --- Bill and Doodles are having lunch. Doodles is concerned for Bill's mental health and suggests some things he might do to feel better. ,103 1 1 109,101 103 0 109,101 103 1 1 109,retrodiction,1,r,,
36,0707-2,3,1_r0,Joan walks into her office in the Wellness Center.,Joan walks into her office in the Wellness Center.,0,0,0,retrodiction,1,r0,,
37,0707-2,3,1_r,Jiyoon welcomes the faculty to a meeting. --- Bill drops Doodles off at school.,Jiyoon welcomes the faculty to a meeting. --- Bill drops Doodles off at school.,132 1,0 0,132 1,retrodiction,1,r,,
38,0522-1,3,2_r0,The dean is making cuts because the eldest professors are making the most money. It is Jiyoons first week as the chair and she is handed immense responsibility. ,The dean is making cuts because the eldest professors are making the most money. It is Jiyoons first week as the chair and she is handed immense responsibility. ,66 101,65 66 101,66 101,retrodiction,2,r0,,
39,0522-1,3,2_r,There is a department meeting and Joan makes a speech. ,There is a department meeting and Joan makes a speech. ,0,0,0,retrodiction,2,r,,
40,0522-3,3,2_r0,,,1 1 1,231 1 1 1,231 1 1,retrodiction,2,r0,,
41,0522-3,3,2_r,,,0 101 132,0 0 1,151 101 132 112,retrodiction,2,r,,
42,0523-2,3,2_r0,"Bill, doodles:

Bill falls asleep in his daughters bed after talking to her late at night.
",Bill falls asleep in his daughters bed after talking to her late at night.,1,0,1,retrodiction,2,r0,,
43,0523-2,3,2_r,Joan discusses being moved with all the faculty. Jiyoon offers to get coffee and go check out her new office.,Joan discusses being moved with all the faculty. Jiyoon offers to get coffee and go check out her new office.,231,201 1,231,retrodiction,2,r,,
44,0523-4,3,2_r0,Jiyoon starts her first day as Chair of the English department. She receives word that the Dean wants to meet with her.,Jiyoon starts her first day as Chair of the English department. She receives word that the Dean wants to meet with her.,101 1,101 0,101 1,retrodiction,2,r0,,
45,0523-4,3,2_r,There is a meeting with all faculty. Joan is told at the meeting that her office is being moved.,There is a meeting with all faculty. Joan is told at the meeting that her office is being moved.,132 1,132 0,132 1,retrodiction,2,r,,
46,0524-1,3,2_r0,Bill and Doodles have dinner and grieve.,Bill and Doodles have dinner and grieve.,1,0,1,retrodiction,2,r0,,
47,0524-1,3,2_r,Joan discusses to the faculty which classes will be taught this year.,Joan discusses to the faculty which classes will be taught this year.,1,0,1,retrodiction,2,r,,
48,0525-1,3,2_r0,"Characters: Jiyoon and Habi
Jiyoon is at home discussing her new career with her father after JuJu has gone to bed. She is excited but also reticent.",Jiyoon is at home discussing her new career with her father after JuJu has gone to bed. She is excited but also reticent.,1,0,1,retrodiction,2,r0,,
49,0525-1,3,2_r,There is a faculty meeting in which Joan answers one of the questions and complains about the modernization of the school. She is steadfast in her opinion although some younger faculty look frustrated.,There is a faculty meeting in which Joan answers one of the questions and complains about the modernization of the school. She is steadfast in her opinion although some younger faculty look frustrated.,132 1 1,132,132 1 1,retrodiction,2,r,,
50,0526-1,3,2_r0,Joan tells Jiyoon she was moved the gym,Joan tells Jiyoon she was moved the gym,1,201,231,retrodiction,2,r0,,
51,0526-1,3,2_r,"Joan has a meeting with all of the faculty about how to attack the coming year
","Joan has a meeting with all of the faculty about how to attack the coming year
",0,132,132,retrodiction,2,r,,
52,0526-3,3,2_r0,Bill has problems at home.,Bill has problems at home.,1,0,1,retrodiction,2,r0,,
53,0526-3,3,2_r,"Joan is fighting with all faculty, firm in her belief as a professor and unwilling to change her lecture material. ","Joan is fighting with all faculty, firm in her belief as a professor and unwilling to change her lecture material. ",1,0,1,retrodiction,2,r,,
54,0527-2,3,2_r0,Jiyoon and Joan talk about her new position as chair.,Jiyoon and Joan talk about her new position as chair.,1,0,1,retrodiction,2,r0,,
55,0527-2,3,2_r,Joan has a conversation with all faculty to discuss the present circumstances of tenure.,Joan has a conversation with all faculty to discuss the present circumstances of tenure.,1,0,1,retrodiction,2,r,,
56,0528-2,3,2_r0,Jiyoon discusses her worries for the English department with Habi. ,Jiyoon discusses her worries for the English department with Habi. ,1,0,1,retrodiction,2,r0,,
57,0528-2,3,2_r,Joan complains to all faculty regarding her new office location. ,Joan complains to all faculty regarding her new office location. ,231,201 231,231,retrodiction,2,r,,
58,0528-3,3,2_r0,Joan complains to Jiyoon about her office being moved to the basement of the Wellness Center. Jiyoon recommends that Yaz try to get tenure.,Joan complains to Jiyoon about her office being moved to the basement of the Wellness Center. Jiyoon recommends that Yaz try to get tenure.,231 1,231 1,231 1,retrodiction,2,r0,,
59,0528-3,3,2_r,Joan complains to all of the faculty that she is being unfairly discriminated against. No other staff member had to have their office moved. She says this is because she is a woman.,Joan complains to all of the faculty that she is being unfairly discriminated against. No other staff member had to have their office moved. She says this is because she is a woman.,231 80,0 80,231 80,retrodiction,2,r,,
60,0612-1,3,2_r0,Bill and Jiyoon talk about being chair of the department. ,Bill and Jiyoon talk about being chair of the department. ,1,1,1,retrodiction,2,r0,,
61,0612-1,3,2_r,"Joan complains about her new, undesirable office space in the department board meeting.","Joan complains about her new, undesirable office space in the department board meeting.",201,231 201,201,retrodiction,2,r,,
62,0613-1,3,2_r0,Joan reaches out the Jiyoon to tell her about her new office. Jiyoon starts her first week as the chair of the English department. ,Joan reaches out the Jiyoon to tell her about her new office. Jiyoon starts her first week as the chair of the English department. ,1 101,1 101,1 101,retrodiction,2,r0,,
63,0613-1,3,2_r,"During the faculty meeting, Joan is given a new a office. She finds out that she is now being moved to terrible office in the athletics department. ","During the faculty meeting, Joan is given a new a office. She finds out that she is now being moved to terrible office in the athletics department. ",79 151,151,79 151,retrodiction,2,r,,
64,0615-1,3,2_r0,Bill and Jiyoon are talking about Sharon and her death. ,Bill and Jiyoon are talking about Sharon and her death. ,1,0,1,retrodiction,2,r0,,
65,0615-1,3,2_r,"Joan is telling All faculty that her office has been moved to the wellness facility. ""How is this fair? I've been teaching at this department for 32 YEARS!""","Joan is telling All faculty that her office has been moved to the wellness facility. ""How is this fair? I've been teaching at this department for 32 YEARS!""",201,201,201,retrodiction,2,r,,
66,0616-1,3,2_r0,Joan contacted Jiyoon to tell her about her switch in office location and told her to come by to see it. Habi is concerned about JuJu's violent thoughts. Bill overslept again. ,Joan contacted Jiyoon to tell her about her switch in office location and told her to come by to see it. Habi is concerned about JuJu's violent thoughts. Bill overslept again. ,1 1 1 ,0 0 1,1 1 1 ,retrodiction,2,r0,,
67,0616-1,3,2_r,Joan speaks out in front of all of the faculty about how she is being mistreated by having her office moved to the recreational center (gym?).,Joan speaks out in front of all of the faculty about how she is being mistreated by having her office moved to the recreational center (gym?).,201,201,201,retrodiction,2,r,,
68,0619-1,3,2_r0,Joan reveals to Jiyoon that she was moved to the basement of the gym. Bill and Doodles spend a nice evening together.,Joan reveals to Jiyoon that she was moved to the basement of the gym. Bill and Doodles spend a nice evening together.,1 1,1 0,1 1,retrodiction,2,r0,,
69,0619-1,3,2_r,Joan gives a welcome speech to all the faculty announcing her plans as chair and what she'd like to accomplish.,Joan gives a welcome speech to all the faculty announcing her plans as chair and what she'd like to accomplish.,103 112,103 112,103 112,retrodiction,2,r,,
70,0706-1,3,2_r0,Jiyoon replaces Bill as Chair. The Dean puts older faculty into a corner. Joan is forced to leave her office. Older faculty fail to adopt new strategies for their students. ,Jiyoon replaces Bill as Chair. The Dean puts older faculty into a corner. Joan is forced to leave her office. Older faculty fail to adopt new strategies for their students. ,67 1 79 1,61 67 0 79 0,67 1 79 1,retrodiction,2,r0,,
71,0706-1,3,2_r,"All faculty support the Dean's decision to have Jiyoon replace Bill as Chair. The Dean puts older faculty into a corner. Joan is forced to leave her office. Older faculty fail to adopt new strategies for their students.
","All faculty support the Dean's decision to have Jiyoon replace Bill as Chair. The Dean puts older faculty into a corner. Joan is forced to leave her office. Older faculty fail to adopt new strategies for their students.
",1 1 79 1,0 0 79 0,1 1 79 1,retrodiction,2,r,,
72,0707-1,3,2_r0,Bill is having lunch with Doodles. Doodles is concerned about Bill's wellbeing after the loss of his partner. She is thinking of ways to help him feel better. ,Bill is having lunch with Doodles. Doodles is concerned about Bill's wellbeing after the loss of his partner. She is thinking of ways to help him feel better. ,1 109,0 109 0,1 109,retrodiction,2,r0,,
73,0707-1,3,2_r,There is a faculty meeting. Joan is describing her vision for the department and is clearly out of touch with the interests of modern students. ,There is a faculty meeting. Joan is describing her vision for the department and is clearly out of touch with the interests of modern students. ,1,132,132 1,retrodiction,2,r,,
74,0707-2,3,2_r0,Jiyoon tells Bill she is nervous for her meeting with the Dean.,Jiyoon tells Bill she is nervous for her meeting with the Dean.,1,1,1,retrodiction,2,r0,,
75,0707-2,3,2_r,Joan protests about her office being moved in a faculty meeting.,Joan protests about her office being moved in a faculty meeting.,201,201,201,retrodiction,2,r,,
76,0522-2,3,2_p0,,,1 1 1 1 1,0,1 1 1 1 1,prediction,2,p0,,
77,0522-2,3,2_p,,,1 1 1 1 1,0,1 1 1 1 1,prediction,2,p,,
78,0523-1,3,2_p0,In the next segment I predict that Bill has a falling out with Jiyoon about not coming into the work meeting; and Jiyoon will ask Yaz advice on how to move forward with that situation. ,Bill has a falling out with Jiyoon about not coming into the work meeting; and Jiyoon will ask Yaz advice on how to move forward with that situation. ,1 1,0 0,1 1,prediction,2,p0,,
79,0523-1,3,2_p,"In the next segment I predict that Bill come into the meeting late has a falling out with Jiyoon about it and all the faculty members watch awkwardly at the encounter. 
","Bill come into the meeting late has a falling out with Jiyoon about it and all the faculty members watch awkwardly at the encounter. 
",1 1,0 0,1 1,prediction,2,p,1,
80,0523-3,3,2_p0,Bill is arrested for stealing the golf cart and being publicly intoxicated. Jiyoon's authority is questioned by one of the many white old men in the room. Jiyoon has a conversation with Bill about his behavior.,Bill is arrested for stealing the golf cart and being publicly intoxicated. Jiyoon's authority is questioned by one of the many white old men in the room. Jiyoon has a conversation with Bill about his behavior.,1 1 1 1,0 0 0,1 1 1 1,prediction,2,p0,,
81,0523-3,3,2_p,Bill is arrested for stealing the golf cart and being publicly intoxicated. Jiyoon's authority is questioned by one of the many white old men in the room. Jiyoon has a conversation with Bill about his behavior. Joan arrives late to the meeting with some news. All faculty are called to a meeting.,Bill is arrested for stealing the golf cart and being publicly intoxicated. Jiyoon's authority is questioned by one of the many white old men in the room. Jiyoon has a conversation with Bill about his behavior. Joan arrives late to the meeting with some news. All faculty are called to a meeting.,1 1 1 1 232 0,0 0 0 232 1,1 1 1 1 232 0,prediction,2,p,,
82,0523-5,3,2_p0,"Jiyoon continues her monologue to the other professors, meanwhile Bill continues to search for his car/a way to leave in a chaotic manner. He finds it, and then realizes he's missing the meeting and rushes back. Finally, Bill shows up to the meeting looking like a mess. ","Jiyoon continues her monologue to the other professors, meanwhile Bill continues to search for his car/a way to leave in a chaotic manner. He finds it, and then realizes he's missing the meeting and rushes back. Finally, Bill shows up to the meeting looking like a mess. ",1 1 1 1 1,1 1 0 0 0,1 1 1 1 1,prediction,2,p0,,
83,0523-5,3,2_p,"Joan also arrives at the meeting, and informs them all of some other piece of information which will be relevant later on.
","Joan also arrives at the meeting, and informs them all of some other piece of information which will be relevant later on.
",232,232,232,prediction,2,p,,
84,0524-2,3,2_p0,"Bill will show up to Jiyoon's office drunk, and they will have a discussion about his lateness as well as his personal life. He apologizes and promises to be better. Jiyoon is sympathetic, and she wants the best for him. They then begin to plan how they will increase their enrollment.","Bill will show up to Jiyoon's office drunk, and they will have a discussion about his lateness as well as his personal life. He apologizes and promises to be better. Jiyoon is sympathetic, and she wants the best for him. They then begin to plan how they will increase their enrollment.",1 1 1,0 1001 1031 1032,1 1031 1 1,prediction,2,p0,,
85,0524-2,3,2_p,"Joan joins the meeting and takes over. She is very dramatic, and she doesn't believe Jiyoon deserves the chair position. As Jiyoon is sticking up for Bill, who is still not present, he drunkenly stumbles in, which heavily discredits Jiyoon.","Joan joins the meeting and takes over. She is very dramatic, and she doesn't believe Jiyoon deserves the chair position. As Jiyoon is sticking up for Bill, who is still not present, he drunkenly stumbles in, which heavily discredits Jiyoon.",0 1 1 1,0 0 0,0 1 1 1,prediction,2,p,,
86,0525-2,3,2_p0,"Jiyoon Kim will continue inspiring her fellow colleagues, despite pressing financial difficulties. A stranger will find Bill in the parking lot and express serious concern over his physical and emotional state.  ","Jiyoon Kim will continue inspiring her fellow colleagues, despite pressing financial difficulties. A stranger will find Bill in the parking lot and express serious concern over his physical and emotional state.  ",1 1,1 1,1 1,prediction,2,p0,,
87,0525-2,3,2_p,"Jiyoon Kim will continue inspiring her all faculty, despite pressing financial difficulties. Joan will find Bill in the parking lot and express serious concern over his physical and emotional state.","Jiyoon Kim will continue inspiring her all faculty, despite pressing financial difficulties. Joan will find Bill in the parking lot and express serious concern over his physical and emotional state.",1 1 1,1 1 0,1 1 1,prediction,2,p,,
88,0526-2,3,2_p0,"Habi and the Dean are going to disagree with Jiyoon's suggestion, and then Bill will walk into the office and support Jiyoon's proposal.","Habi and the Dean are going to disagree with Jiyoon's suggestion, and then Bill will walk into the office and support Jiyoon's proposal.",1 1,0 0,1 1,prediction,2,p0,,
89,0526-2,3,2_p,All faculty present at the meeting are going to disagree with the suggestion but then Joan will back her up,All faculty present at the meeting are going to disagree with the suggestion but then Joan will back her up,1 1,0 0,1 1,prediction,2,p,,
90,0527-1,3,2_p0,"Jiyoon finishes her speech, and the professors have mixed reactions. The older professors react negatively, while the younger ones are more positive. Bill arrives at the college, clearly a drunken mess. He attempts to congratulate Jiyoon on her first day as chair.","Jiyoon finishes her speech, and the professors have mixed reactions. The older professors react negatively, while the younger ones are more positive. Bill arrives at the college, clearly a drunken mess. He attempts to congratulate Jiyoon on her first day as chair.",1 1 1 1,0 0 0 0,1 1 1 1,prediction,2,p0,,
91,0527-1,3,2_p,All faculty go to are speaking to Joan after the meeting with the new chair Jiyoon. They are all discussing Jiyoon's plans for the department and how they feel about them.,All faculty go to are speaking to Joan after the meeting with the new chair Jiyoon. They are all discussing Jiyoon's plans for the department and how they feel about them.,1 1,0 0,1 1,prediction,2,p,,
92,0528-1,3,2_p0,Bill gets in trouble with airport security. Jiyoon is called by Bill to assist him and get him out of trouble. Joan shows up late to the meeting. ,Bill gets in trouble with airport security. Jiyoon is called by Bill to assist him and get him out of trouble. Joan shows up late to the meeting. ,1 1 232,0 0 232,1 1 232,prediction,2,p0,,
93,0528-1,3,2_p,Joan shows up late to the meeting. All faculty are waiting in the meeting room and stare at her. ,Joan shows up late to the meeting. All faculty are waiting in the meeting room and stare at her. ,232 1,232 0,232 1,prediction,2,p,,
94,0608-1,3,2_p0,Bill will probably be arrested by airport security because he was drinking and driving a security car without permission. Jiyoon will possible need to bail him out or move on with the meeting without him.,Bill will probably be arrested by airport security because he was drinking and driving a security car without permission. Jiyoon will possible need to bail him out or move on with the meeting without him.,1 1,0 1 1 0,1 1,prediction,2,p0,,
95,0608-1,3,2_p,Bill will probably be arrested by airport security because he was drinking and driving a security car without permission. Joan will possible need to bail him out and Jiyoon will move on with the meeting without him.,Bill will probably be arrested by airport security because he was drinking and driving a security car without permission. Joan will possible need to bail him out and Jiyoon will move on with the meeting without him.,1 1,0 1 1 0,1 1,prediction,2,p,,
96,0608-2,3,2_p0,"Bill shows up to the department faculty meeting drunk and disoriented. Jiyoon gets disappointed in how embarrassing he is as a colleague while others in the room (Elliot, Yaz, and the Dean) roll their eyes as if this is an expected occurrence. Jiyoon and Bill have a separate private conversation regarding his status in the department. Bill is told that he will be fired soon. This ignites him to start a drama in the department.","Bill shows up to the department faculty meeting drunk and disoriented. Jiyoon gets disappointed in how embarrassing he is as a colleague while others in the room (Elliot, Yaz, and the Dean) roll their eyes as if this is an expected occurrence. Jiyoon and Bill have a separate private conversation regarding his status in the department. Bill is told that he will be fired soon. This ignites him to start a drama in the department.",1 1 1 1 ,0,1 1 1 1 ,prediction,2,p0,,
97,0608-2,3,2_p,Bill meets Joan outside of the department and has a private conversation regarding his status as a faculty in the department and Jiyoon as the chair. Bill then shows up to the department and all faculties give a disappointed look at him.,Bill meets Joan outside of the department and has a private conversation regarding his status as a faculty in the department and Jiyoon as the chair. Bill then shows up to the department and all faculties give a disappointed look at him.,1 1 1,0 1,1 1 1,prediction,2,p,,
98,0611-1,3,2_p0,"Bill reaches the meeting drunk and is confronted for that. The older colleagues are put off by it, but as he has recently gone through some loss, Jiyoon calls him aside to talk about it. According to Jiyoon's speech, the college seems to cut the budget further and she informs the colleagues about other bad news - relocation, fewer classes, or, perhaps, loss in research opportunities.","Bill reaches the meeting drunk and is confronted for that. The older colleagues are put off by it, but as he has recently gone through some loss, Jiyoon calls him aside to talk about it. According to Jiyoon's speech, the college seems to cut the budget further and she informs the colleagues about other bad news - relocation, fewer classes, or, perhaps, loss in research opportunities.",1 1 66 1,0 0 1,1 1 66 1,prediction,2,p0,,
99,0611-1,3,2_p,"Bill reaches the meeting drunk and is confronted for that. All faculty are put off by it, but as he has recently gone through some loss, Jiyoon calls him aside to talk about it. Additionally, the college seems to cut the budget further and she informs the colleagues about other bad news to affect all faculty - relocation, fewer classes, or, perhaps, loss in research opportunities. Joan is a target to one of these outcomes.","Bill reaches the meeting drunk and is confronted for that. All faculty are put off by it, but as he has recently gone through some loss, Jiyoon calls him aside to talk about it. Additionally, the college seems to cut the budget further and she informs the colleagues about other bad news to affect all faculty - relocation, fewer classes, or, perhaps, loss in research opportunities. Joan is a target to one of these outcomes.",1 1 66 1 1,0 0 1,1 1 66 1 1,prediction,2,p,,
